id,name,iconUrl,ncaaUrl
abilene-christian,Abilene Christian University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg,https://www.ncaa.com/schools/abilene-christian
academy-of-art,Academy of Art University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/academy-of-art.svg,https://www.ncaa.com/schools/academy-of-art
adams-st,Adams State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/adams-st.svg,https://www.ncaa.com/schools/adams-st
adelphi,Adelphi University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/adelphi.svg,https://www.ncaa.com/schools/adelphi
adrian,Adrian College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/adrian.svg,https://www.ncaa.com/schools/adrian
agnes-scott,Agnes Scott College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/agnes-scott.svg,https://www.ncaa.com/schools/agnes-scott
air-force,Air Force Academy,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg,https://www.ncaa.com/schools/air-force
akron,University of Akron,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg,https://www.ncaa.com/schools/akron
ala-huntsville,University of Alabama-Huntsville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ala-huntsville.svg,https://www.ncaa.com/schools/ala-huntsville
alabama,University of Alabama,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg,https://www.ncaa.com/schools/alabama
alabama-am,Alabama A&M University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg,https://www.ncaa.com/schools/alabama-am
alabama-st,Alabama State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg,https://www.ncaa.com/schools/alabama-st
alas-anchorage,University of Alaska-Anchorage,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alas-anchorage.svg,https://www.ncaa.com/schools/alas-anchorage
alas-fairbanks,University of Alaska-Fairbanks,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alas-fairbanks.svg,https://www.ncaa.com/schools/alas-fairbanks
albany-ny,University at Albany,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg,https://www.ncaa.com/schools/albany-ny
albany-st-ga,Albany State University ,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-st-ga.svg,https://www.ncaa.com/schools/albany-st-ga
albertus-magnus,Albertus Magnus College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albertus-magnus.svg,https://www.ncaa.com/schools/albertus-magnus
albion,Albion College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albion.svg,https://www.ncaa.com/schools/albion
albright,Albright College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albright.svg,https://www.ncaa.com/schools/albright
alcorn,Alcorn State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg,https://www.ncaa.com/schools/alcorn
alderson-broaddus,Alderson-Broaddus University ,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alderson-broaddus.svg,https://www.ncaa.com/schools/alderson-broaddus
alfred,Alfred University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alfred.svg,https://www.ncaa.com/schools/alfred
alfred-st,Alfred State College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alfred-st.svg,https://www.ncaa.com/schools/alfred-st
allegheny,Allegheny College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/allegheny.svg,https://www.ncaa.com/schools/allegheny
allen,Allen,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/allen.svg,https://www.ncaa.com/schools/allen
alma,Alma College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alma.svg,https://www.ncaa.com/schools/alma
alvernia,Alvernia University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alvernia.svg,https://www.ncaa.com/schools/alvernia
alverno,Alverno College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alverno.svg,https://www.ncaa.com/schools/alverno
am-corpus-chris,Texas A&M-Corpus Christi,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/am-corpus-chris.svg,https://www.ncaa.com/schools/am-corpus-chris
american,American University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american.svg,https://www.ncaa.com/schools/american
american-intl,American International College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american-intl.svg,https://www.ncaa.com/schools/american-intl
american-pr,American University of Puerto Rico,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american-pr.svg,https://www.ncaa.com/schools/american-pr
amherst,Amherst College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/amherst.svg,https://www.ncaa.com/schools/amherst
anderson-in,Anderson University (Ind.) ,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/anderson-in.svg,https://www.ncaa.com/schools/anderson-in
anderson-sc,Anderson University (S.C.),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/anderson-sc.svg,https://www.ncaa.com/schools/anderson-sc
angelo-st,Angelo State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/angelo-st.svg,https://www.ncaa.com/schools/angelo-st
anna-maria,Anna Maria College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/anna-maria.svg,https://www.ncaa.com/schools/anna-maria
appalachian-st,Appalachian State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg,https://www.ncaa.com/schools/appalachian-st
arcadia,Arcadia University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arcadia.svg,https://www.ncaa.com/schools/arcadia
arizona,University of Arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg,https://www.ncaa.com/schools/arizona
arizona-st,Arizona State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg,https://www.ncaa.com/schools/arizona-st
