id,name,url
cross-country-men,Cross Country - Men,https://www.ncaa.com/sports/cross-country-men
cross-country-women,Cross Country - Women,https://www.ncaa.com/sports/cross-country-women
fieldhockey,Field Hockey,https://www.ncaa.com/sports/fieldhockey
football,Football,https://www.ncaa.com/sports/football
soccer-men,Soccer - Men,https://www.ncaa.com/sports/soccer-men
soccer-women,Soccer - Women,https://www.ncaa.com/sports/soccer-women
volleyball-women,Volleyball - Women,https://www.ncaa.com/sports/volleyball-women
waterpolo-men,Water Polo - Men,https://www.ncaa.com/sports/waterpolo-men
basketball-men,Basketball - Men,https://www.ncaa.com/sports/basketball-men
basketball-women,Basketball - Women,https://www.ncaa.com/sports/basketball-women
bowling,Bowling,https://www.ncaa.com/sports/bowling
fencing,Fencing,https://www.ncaa.com/sports/fencing
gymnastics-men,Gymnastics - Men,https://www.ncaa.com/sports/gymnastics-men
gymnastics-women,Gymnastics - Women,https://www.ncaa.com/sports/gymnastics-women
icehockey-men,Ice Hockey - Men,https://www.ncaa.com/sports/icehockey-men
icehockey-women,Ice Hockey - Women,https://www.ncaa.com/sports/icehockey-women
rifle,Rifle,https://www.ncaa.com/sports/rifle
skiing,Skiing,https://www.ncaa.com/sports/skiing
swimming-men,Swimming & Diving - Men,https://www.ncaa.com/sports/swimming-men
swimming-women,Swimming & Diving - Women,https://www.ncaa.com/sports/swimming-women
trackfield-indoor-men,Track & Field (I) - Men,https://www.ncaa.com/sports/trackfield-indoor-men
trackfield-indoor-women,Track & Field (I) - Women,https://www.ncaa.com/sports/trackfield-indoor-women
wrestling,Wrestling,https://www.ncaa.com/sports/wrestling
baseball,Baseball,https://www.ncaa.com/sports/baseball
beach-volleyball,Beach Volleyball,https://www.ncaa.com/sports/beach-volleyball
golf-men,Golf - Men,https://www.ncaa.com/sports/golf-men
golf-women,Golf - Women,https://www.ncaa.com/sports/golf-women
lacrosse-men,Lacrosse - Men,https://www.ncaa.com/sports/lacrosse-men
lacrosse-women,Lacrosse - Women,https://www.ncaa.com/sports/lacrosse-women
rowing,Rowing,https://www.ncaa.com/sports/rowing
softball,Softball,https://www.ncaa.com/sports/softball
tennis-men,Tennis - Men,https://www.ncaa.com/sports/tennis-men
tennis-women,Tennis - Women,https://www.ncaa.com/sports/tennis-women
trackfield-outdoor-men,Track & Field (O) - Men,https://www.ncaa.com/sports/trackfield-outdoor-men
trackfield-outdoor-women,Track & Field (O) - Women,https://www.ncaa.com/sports/trackfield-outdoor-women
volleyball-men,Volleyball - Men,https://www.ncaa.com/sports/volleyball-men
waterpolo-women,Water Polo - Women,https://www.ncaa.com/sports/waterpolo-women
